FieldName,ReportDate,Flared,Gas,GasSold
BEAVER LODGE,1/1/2020,189.0,6088.0,5899
BEAVER LODGE,1/1/2021,6.0,129229.0,129223
BEAVER LODGE,1/1/2022,750.0,35794.0,35044
BEAVER LODGE,10/1/2020,0.0,7488.0,164018
BEAVER LODGE,10/1/2021,1215.0,41278.0,40063
BEAVER LODGE,11/1/2020,16.0,111199.0,135527
BEAVER LODGE,11/1/2021,1435.0,37194.0,35759
BEAVER LODGE,12/1/2020,6.0,131534.0,131528
BEAVER LODGE,12/1/2021,294.0,40098.0,39804
BEAVER LODGE,2/1/2020,339.0,6754.0,6415
BEAVER LODGE,2/1/2021,62.0,76538.0,76476
BEAVER LODGE,2/1/2022,436.0,33994.0,33558
BEAVER LODGE,3/1/2020,87.0,9313.0,9226
BEAVER LODGE,3/1/2021,497.0,77606.0,77109
BEAVER LODGE,3/1/2022,314.0,42322.0,42008
BEAVER LODGE,4/1/2020,5.0,9755.0,9750
BEAVER LODGE,4/1/2021,8.0,98489.0,98481
BEAVER LODGE,4/1/2022,233.0,23926.0,23693
BEAVER LODGE,5/1/2020,1.0,8861.0,8860
BEAVER LODGE,5/1/2021,145.0,90294.0,90149
BEAVER LODGE,5/1/2022,429.0,20721.0,20292
BEAVER LODGE,6/1/2020,0.0,8660.0,8660
BEAVER LODGE,6/1/2021,214.0,48584.0,48370
BEAVER LODGE,7/1/2020,11.0,9421.0,149995
BEAVER LODGE,7/1/2021,34564.0,54459.0,19895
BEAVER LODGE,8/1/2020,0.0,9133.0,100128
BEAVER LODGE,8/1/2021,25235.0,53716.0,28481
BEAVER LODGE,9/1/2020,0.0,7697.0,124797
BEAVER LODGE,9/1/2021,1239.0,47031.0,45792
TIOGA,1/1/2020,0.0,2419.0,2419
TIOGA,1/1/2021,0.0,1747.0,1747
TIOGA,1/1/2022,0.0,1018.0,1018
TIOGA,10/1/2020,0.0,1278.0,1278
TIOGA,10/1/2021,0.0,848.0,848
TIOGA,11/1/2020,0.0,1392.0,1392
TIOGA,11/1/2021,0.0,807.0,807
TIOGA,12/1/2020,0.0,1871.0,1871
TIOGA,12/1/2021,0.0,921.0,921
TIOGA,2/1/2020,0.0,2000.0,2000
TIOGA,2/1/2021,0.0,1858.0,1858
TIOGA,2/1/2022,0.0,633.0,633
TIOGA,3/1/2020,0.0,588.0,588
TIOGA,3/1/2021,0.0,914.0,914
TIOGA,3/1/2022,0.0,927.0,927
TIOGA,4/1/2020,0.0,512.0,512
TIOGA,4/1/2021,0.0,743.0,743
TIOGA,4/1/2022,0.0,932.0,932
TIOGA,5/1/2020,0.0,623.0,623
TIOGA,5/1/2021,0.0,1674.0,1674
TIOGA,5/1/2022,0.0,740.0,740
TIOGA,6/1/2020,0.0,997.0,997
TIOGA,6/1/2021,0.0,1344.0,1344
TIOGA,7/1/2020,0.0,745.0,745
TIOGA,7/1/2021,0.0,357.0,357
TIOGA,8/1/2020,0.0,898.0,898
TIOGA,8/1/2021,0.0,336.0,336
TIOGA,9/1/2020,0.0,1278.0,1278
TIOGA,9/1/2021,0.0,881.0,881
TRUAX,1/1/2020,5706.0,19793.0,14087
TRUAX,1/1/2021,280.0,18879.0,18599
TRUAX,1/1/2022,1565.0,14247.0,12682
TRUAX,10/1/2020,678.0,17344.0,16666
TRUAX,10/1/2021,209.0,18526.0,18317
TRUAX,11/1/2020,51.0,19533.0,19482
TRUAX,11/1/2021,544.0,16531.0,15987
TRUAX,12/1/2020,250.0,18222.0,17972
TRUAX,12/1/2021,4171.0,19382.0,15211
TRUAX,2/1/2020,5761.0,16155.0,10394
TRUAX,2/1/2021,0.0,15826.0,15826
TRUAX,2/1/2022,2176.0,17177.0,15001
TRUAX,3/1/2020,6212.0,17307.0,11095
TRUAX,3/1/2021,3.0,12692.0,12689
TRUAX,3/1/2022,1795.0,20402.0,18607
TRUAX,4/1/2020,4194.0,17767.0,13573
TRUAX,4/1/2021,131.0,10783.0,10652
TRUAX,4/1/2022,939.0,11886.0,10947
TRUAX,5/1/2020,3202.0,17380.0,14178
TRUAX,5/1/2021,2597.0,17129.0,14532
TRUAX,5/1/2022,213.0,4402.0,4189
TRUAX,6/1/2020,2720.0,12835.0,10115
TRUAX,6/1/2021,846.0,23853.0,23007
TRUAX,7/1/2020,1585.0,13626.0,12041
TRUAX,7/1/2021,1143.0,24973.0,23830
TRUAX,8/1/2020,1938.0,14537.0,12599
TRUAX,8/1/2021,1222.0,20682.0,19460
TRUAX,9/1/2020,1416.0,13719.0,12303
TRUAX,9/1/2021,146.0,20668.0,20522
